19:58:27.927 -> 6in, 17cm
19:58:28.179 -> 8in, 22cm
19:58:28.453 -> 8in, 22cm
19:58:28.698 -> 6in, 16cm
19:58:28.954 -> 6in, 15cm
19:58:29.212 -> 6in, 17cm
19:58:29.468 -> 6in, 17cm
19:58:29.711 -> 7in, 18cm
19:58:29.971 -> 8in, 20cm
19:58:30.223 -> 7in, 18cm
19:58:30.483 -> 7in, 19cm
19:58:30.731 -> 7in, 18cm
19:58:31.068 -> 468in, 1192cm
19:58:31.399 -> 468in, 1192cm
19:58:31.623 -> 8in, 21cm
19:58:31.906 -> 7in, 20cm
19:58:32.125 -> 8in, 20cm
19:58:32.408 -> 8in, 21cm
19:58:32.710 -> 468in, 1192cm
19:58:33.050 -> 468in, 1192cm
19:58:33.307 -> 8in, 22cm
19:58:33.565 -> 6in, 17cm
19:58:33.787 -> 6in, 17cm
19:58:34.079 -> 6in, 17cm
19:58:34.336 -> 6in, 16cm
19:58:34.573 -> 6in, 17cm
19:58:34.832 -> 6in, 17cm
19:58:35.082 -> 6in, 17cm
19:58:35.340 -> 7in, 17cm
19:58:35.602 -> 6in, 17cm
19:58:35.851 -> 6in, 17cm
19:58:36.101 -> 7in, 19cm
19:58:36.368 -> 6in, 17cm
19:58:36.662 -> 468in, 1192cm
19:58:36.924 -> 7in, 18cm
19:58:37.190 -> 7in, 19cm
19:58:37.444 -> 7in, 19cm
19:58:37.686 -> 7in, 18cm
19:58:37.994 -> 468in, 1192cm
19:58:38.345 -> 468in, 1192cm
19:58:38.645 -> 468in, 1192cm
19:58:38.900 -> 7in, 18cm
19:58:39.152 -> 8in, 20cm
19:58:39.395 -> 7in, 20cm
19:58:39.685 -> 8in, 22cm
19:58:39.935 -> 7in, 20cm
19:58:40.270 -> 468in, 1192cm
19:58:40.552 -> 468in, 1192cm
19:58:40.898 -> 468in, 1192cm
19:58:41.152 -> 7in, 20cm
19:58:41.418 -> 8in, 21cm
19:58:41.718 -> 468in, 1192cm
19:58:42.046 -> 468in, 1192cm
19:58:42.298 -> 7in, 19cm
19:58:42.552 -> 6in, 16cm
19:58:42.817 -> 6in, 16cm
19:58:43.066 -> 6in, 16cm
19:58:43.319 -> 6in, 16cm
19:58:43.552 -> 6in, 17cm
19:58:43.811 -> 7in, 19cm
19:58:44.094 -> 8in, 20cm
19:58:44.331 -> 7in, 19cm
19:58:44.672 -> 468in, 1192cm
19:58:44.979 -> 468in, 1192cm
19:58:45.281 -> 468in, 1192cm
19:58:45.624 -> 468in, 1192cm
19:58:45.956 -> 468in, 1192cm
19:58:46.253 -> 468in, 1192cm
19:58:46.603 -> 468in, 1192cm
19:58:46.908 -> 468in, 1192cm
19:58:47.229 -> 468in, 1192cm
19:58:47.573 -> 468in, 1192cm
19:58:47.827 -> 6in, 17cm
19:58:48.119 -> 468in, 1192cm
19:58:48.467 -> 468in, 1192cm
19:58:48.766 -> 468in, 1192cm
19:58:49.057 -> 7in, 19cm
19:58:49.361 -> 468in, 1192cm
19:58:49.615 -> 4in, 12cm
19:58:49.951 -> 468in, 1192cm
19:58:50.202 -> 4in, 12cm
19:58:50.541 -> 468in, 1192cm
19:58:50.756 -> 5in, 12cm
19:58:51.094 -> 468in, 1192cm
19:58:51.427 -> 468in, 1192cm
19:58:51.723 -> 468in, 1192cm
19:58:52.072 -> 468in, 1192cm
19:58:52.377 -> 468in, 1192cm
19:58:52.712 -> 468in, 1192cm
19:58:53.052 -> 468in, 1192cm
19:58:53.343 -> 468in, 1192cm
19:58:53.629 -> 6in, 16cm
19:58:53.917 -> 468in, 1192cm
19:58:54.264 -> 469in, 1192cm
19:58:54.500 -> 7in, 18cm
19:58:54.750 -> 6in, 17cm
19:58:55.076 -> 468in, 1192cm
19:58:55.427 -> 468in, 1192cm
19:58:55.744 -> 468in, 1192cm
19:58:56.045 -> 468in, 1192cm
19:58:56.381 -> 468in, 1192cm
19:58:56.682 -> 468in, 1192cm
19:58:57.034 -> 469in, 1192cm
19:58:57.287 -> 122in, 311cm
19:58:57.633 -> 468in, 1192cm
19:58:57.943 -> 468in, 1192cm
19:58:58.281 -> 468in, 1192cm
19:58:58.571 -> 468in, 1192cm
19:58:58.918 -> 468in, 1192cm
19:58:59.228 -> 468in, 1192cm
19:58:59.569 -> 468in, 1192cm
19:58:59.892 -> 469in, 1192cm
19:59:00.184 -> 468in, 1192cm
19:59:00.512 -> 468in, 1192cm
19:59:00.856 -> 468in, 1192cm
19:59:01.196 -> 468in, 1192cm
19:59:01.483 -> 468in, 1192cm
19:59:01.816 -> 468in, 1192cm
19:59:02.127 -> 468in, 1192cm
19:59:02.390 -> 7in, 19cm
19:59:02.639 -> 7in, 18cm
19:59:02.891 -> 6in, 16cm
19:59:03.184 -> 6in, 17cm
19:59:03.428 -> 6in, 17cm
19:59:03.680 -> 6in, 17cm
19:59:03.935 -> 6in, 16cm
19:59:04.195 -> 6in, 17cm
19:59:04.408 -> 6in, 17cm
19:59:04.701 -> 6in, 17cm
19:59:04.950 -> 6in, 16cm
19:59:05.246 -> 468in, 1192cm
19:59:05.495 -> 6in, 16cm
19:59:05.746 -> 6in, 16cm
19:59:06.021 -> 6in, 16cm
19:59:06.257 -> 6in, 15cm
19:59:06.535 -> 6in, 16cm
19:59:06.769 -> 6in, 16cm
19:59:07.050 -> 6in, 16cm
19:59:07.281 -> 6in, 16cm
19:59:07.559 -> 6in, 17cm
19:59:07.794 -> 6in, 17cm
19:59:08.072 -> 6in, 17cm
19:59:08.397 -> 468in, 1192cm
19:59:08.719 -> 468in, 1192cm
19:59:09.047 -> 468in, 1192cm
19:59:09.369 -> 468in, 1192cm
19:59:09.693 -> 468in, 1192cm
19:59:09.973 -> 468in, 1192cm
19:59:10.299 -> 443in, 1128cm
19:59:10.624 -> 468in, 1192cm
19:59:10.947 -> 468in, 1192cm
19:59:11.276 -> 468in, 1192cm
19:59:11.601 -> 468in, 1192cm
19:59:11.926 -> 468in, 1192cm
19:59:12.254 -> 468in, 1192cm
19:59:12.578 -> 468in, 1192cm
19:59:12.903 -> 468in, 1192cm
